latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.07,39.3,61.0,10800,Africa/Dar_es_Salaam,EAT

time,temperature_2m (°C),relative_humidity_2m (%)
2026-09-23T00:00,23.3,81
2026-09-23T01:00,22.6,85
2026-09-23T02:00,22.0,88
2026-09-23T03:00,21.7,89
2026-09-23T04:00,21.8,90
2026-09-23T05:00,21.9,90
2026-09-23T06:00,21.9,90
2026-09-23T07:00,22.9,86
2026-09-23T08:00,25.7,73
2026-09-23T09:00,27.2,65
2026-09-23T10:00,28.4,59
2026-09-23T11:00,29.8,53
2026-09-23T12:00,30.7,50
2026-09-23T13:00,30.1,52
2026-09-23T14:00,30.3,51
2026-09-23T15:00,29.8,54
2026-09-23T16:00,28.7,58
2026-09-23T17:00,27.4,64
2026-09-23T18:00,25.7,71
2026-09-23T19:00,24.5,77
2026-09-23T20:00,24.1,80
2026-09-23T21:00,23.7,82
2026-09-23T22:00,23.4,84
2026-09-23T23:00,23.5,83
2026-09-24T00:00,23.2,84
2026-09-24T01:00,22.7,87
2026-09-24T02:00,22.5,88
2026-09-24T03:00,22.1,90
2026-09-24T04:00,22.2,90
2026-09-24T05:00,22.2,90
2026-09-24T06:00,22.0,92
2026-09-24T07:00,22.9,90
2026-09-24T08:00,25.3,79
2026-09-24T09:00,26.2,75
2026-09-24T10:00,27.9,64
2026-09-24T11:00,29.7,56
2026-09-24T12:00,30.8,52
2026-09-24T13:00,30.8,52
2026-09-24T14:00,30.4,54
2026-09-24T15:00,29.7,58
2026-09-24T16:00,28.8,62
2026-09-24T17:00,27.5,68
2026-09-24T18:00,25.7,77
2026-09-24T19:00,24.8,81
2026-09-24T20:00,24.3,84
2026-09-24T21:00,24.2,85
2026-09-24T22:00,23.9,86
2026-09-24T23:00,23.7,87
2026-09-25T00:00,23.4,89
2026-09-25T01:00,23.1,90
2026-09-25T02:00,22.9,90
2026-09-25T03:00,22.8,91
2026-09-25T04:00,22.7,92
2026-09-25T05:00,22.3,93
2026-09-25T06:00,22.1,94
2026-09-25T07:00,23.5,89
2026-09-25T08:00,25.9,76
2026-09-25T09:00,27.3,70
2026-09-25T10:00,28.4,65
2026-09-25T11:00,29.7,59
2026-09-25T12:00,30.1,58
2026-09-25T13:00,30.4,56
2026-09-25T14:00,30.2,56
2026-09-25T15:00,29.4,60
2026-09-25T16:00,28.5,63
2026-09-25T17:00,27.4,67
2026-09-25T18:00,26.2,73
2026-09-25T19:00,25.3,78
2026-09-25T20:00,24.6,84
2026-09-25T21:00,24.4,85
2026-09-25T22:00,24.3,85
2026-09-25T23:00,23.5,89
2026-09-26T00:00,23.2,91
2026-09-26T01:00,23.0,91
2026-09-26T02:00,23.2,90
2026-09-26T03:00,22.8,92
2026-09-26T04:00,22.4,94
2026-09-26T05:00,22.2,95
2026-09-26T06:00,21.9,96
2026-09-26T07:00,23.1,92
2026-09-26T08:00,25.2,82
2026-09-26T09:00,26.9,71
2026-09-26T10:00,28.2,65
2026-09-26T11:00,29.3,59
2026-09-26T12:00,29.7,59
2026-09-26T13:00,30.2,56
2026-09-26T14:00,30.5,55
2026-09-26T15:00,29.7,57
2026-09-26T16:00,28.7,62
2026-09-26T17:00,27.3,68
2026-09-26T18:00,26.1,74
2026-09-26T19:00,25.6,76
2026-09-26T20:00,25.5,77
2026-09-26T21:00,25.3,78
2026-09-26T22:00,25.0,80
2026-09-26T23:00,24.6,82
2026-09-27T00:00,24.3,85
2026-09-27T01:00,24.1,86
2026-09-27T02:00,23.8,88
2026-09-27T03:00,23.6,89
2026-09-27T04:00,23.3,92
2026-09-27T05:00,23.0,96
2026-09-27T06:00,22.9,98
2026-09-27T07:00,23.1,98
2026-09-27T08:00,23.5,97
2026-09-27T09:00,24.2,94
2026-09-27T10:00,25.3,87
2026-09-27T11:00,26.6,80
